Institute Name,CourseName,Followers,type,Location,Day
fullstackacademy,data science,6459.0,reel,hyderabad,tuesday
fullstackacademy,data science,6459.0,post,hyderabad,monday
saidemy,dataskills,64.0,post,hyderabad,saturday
fullstackacademy,data science,6459.0,post,hyderabad,thursday
fullstackacademy,data analytics,6459.0,post,hyderabad,sunday
saidemy,ai,6459.0,post,hyderabad,friday
fullstackacademy,data analytics,6459.0,reel,hyderabad,monday
saidemy,data science,6459.0,post,hyderabad,tuesday
fullstackacademy,data analytics,6459.0,post,hyderabad,tuesday
fullstackacademy,data analytics,6459.0,post,hyderabad,wednesday
teksacademy,data science,9038.0,reel,hyderabad,thursday
teksacademy,data science,9038.0,post,hyderabad,thursday
teksacademy,data science,9038.0,reel,hyderabad,saturday
teksacademy,ai,9038.0,post,hyderabad,thursday
teksacademy,data science,9038.0,reel,hyderabad,wednesday
teksacademy,data science,9038.0,post,hyderabad,tuesday
teksacademy,data science,9038.0,reel,hyderabad,tuesday
teksacademy,data science,9038.0,reel,hyderabad,monday
teksacademy,data science,9038.0,reel,hyderabad,friday
teksacademy,ai,9038.0,post,hyderabad,thursday
teksacademy,data science,9038.0,reel,hyderabad,wednesday
teksacademy,data science,9038.0,post,hyderabad,tuesday
teksacademy,data analytics,9038.0,post,hyderabad,wednesday
teksacademy,data science,9038.0,post,hyderabad,monday
teksacademy,ai,9038.0,post,hyderabad,thursday
teksacademy,data science,9038.0,reel,hyderabad,wednesday
teksacademy,data science,9038.0,post,hyderabad,tuesday
teksacademy,data analytics,9038.0,reel,hyderabad,tuesday
teksacademy,data science,9038.0,reel,hyderabad,friday
teksacademy,data analytics,9038.0,post,hyderabad,thursday
teksacademy,data science,9038.0,post,hyderabad,monday
teksacademy,data science,9038.0,reel,hyderabad,tuesday
saidemy,gcp,9038.0,reel,hyderabad,tuesday
teksacademy,data science,9038.0,post,hyderabad,monday
teksacademy,data science,9038.0,reel,hyderabad,monday
datamites,ai,12200.0,reel,hyderabad,friday
datamites,ai,12200.0,post,hyderabad,thursday
saidemy,ai,12200.0,reel,hyderabad,tuesday
datamites,data science,12200.0,reel,hyderabad,saturday
datamites,ai,12200.0,reel,hyderabad,wednesday
datamites,data science,12200.0,reel,hyderabad,friday
datamites,data science,12200.0,post,hyderabad,thursday
datamites,data analytics,12200.0,post,hyderabad,monday
datamites,data science,12200.0,reel,hyderabad,wednesday
datamites,ai,12200.0,post,hyderabad,monday
datamites,ai,12200.0,reel,hyderabad,thursday
datamites,data analytics,12200.0,post,hyderabad,thursday
datamites,ai,12200.0,post,hyderabad,monday
datamites,data analytics,12200.0,reel,hyderabad,friday
datamites,data science,12200.0,post,hyderabad,saturday
datamites,data science,12200.0,reel,hyderabad,friday
datamites,data analytics,12200.0,reel,hyderabad,friday
datamites,ai,12200.0,post,hyderabad,friday
datamites,data analytics,12200.0,reel,hyderabad,tuesday
datamites,data science,12200.0,reel,hyderabad,friday
datamites,data science,12200.0,reel,hyderabad,tuesday
datamites,data science,12200.0,reel,hyderabad,friday
datamites,data science,12200.0,reel,hyderabad,tuesday
datamites,data science,12200.0,reel,hyderabad,friday
datamites,data analytics,12200.0,reel,hyderabad,tuesday
datamites,data science,12200.0,reel,hyderabad,tuesday
datamites,data science,12200.0,post,hyderabad,tuesday
datamites,data science,12200.0,post,hyderabad,monday
datamites,ai,12200.0,reel,hyderabad,friday
datamites,data science,12200.0,reel,hyderabad,wednesday
datamites,ai,12200.0,reel,hyderabad,tuesday
datamites,data science,12200.0,reel,hyderabad,friday
datamites,data science,12200.0,post,hyderabad,friday
datamites,data analytics,12200.0,post,hyderabad,monday
datamites,data science,12200.0,reel,hyderabad,friday
datamites,data science,12200.0,reel,hyderabad,tuesday
datamites,data analytics,12200.0,reel,hyderabad,friday
datamites,data analytics,12200.0,reel,hyderabad,friday
datamites,data science,12200.0,reel,hyderabad,tuesday
datamites,data science,12200.0,reel,hyderabad,tuesday
datamites,data science,12200.0,reel,hyderabad,friday
datamites,ai,12200.0,reel,hyderabad,tuesday
cedlearn,data analytics,5618.0,post,hyderabad,wednesday
cedlearn,data science,5618.0,post,hyderabad,thursday
cedlearn,data analytics,10226.0,post,hyderabad,thursday
cedlearn,gcp,5618.0,post,hyderabad,monday
cedlearn,data science,5618.0,post,hyderabad,thursday
cedlearn,data analytics,10226.0,post,hyderabad,monday
cedlearn,data analytics,5618.0,post,hyderabad,tuesday
saidemy,gcp,5618.0,post,hyderabad,monday
saidemy,data science,5618.0,post,hyderabad,saturday
cedlearn,data analytics,5618.0,post,hyderabad,tuesday
cedlearn,ai,5618.0,reel,hyderabad,saturday
cedlearn,data analytics,5618.0,post,hyderabad,thursday
cedlearn,data science,5618.0,post,hyderabad,thursday
cedlearn,data analytics,561.0,post,hyderabad,friday
cedlearn,ai,5618.0,post,hyderabad,friday
cedlearn,gcp,5618.0,reel,hyderabad,saturday
cedlearn,data analytics,5618.0,post,hyderabad,friday
saidemy,data analytics,5618.0,post,hyderabad,monday
elearn infotech,full stack development,746.0,post,hyderabad,thursday
elearn infotech,full stack development,746.0,post,hyderabad,saturday
elearn infotech,gcp,746.0,post,hyderabad,wednesday
saidemy,full stack development,746.0,reel,hyderabad,thursday
elearn infotech,full stack development,746.0,post,hyderabad,friday
elearn infotech,full stack development,746.0,post,hyderabad,saturday
elearn infotech,full stack development,746.0,post,hyderabad,sunday
elearn infotech,full stack development,746.0,post,hyderabad,monday
elearn infotech,full stack development,746.0,post,hyderabad,thursday
elearn infotech,gcp,746.0,post,hyderabad,wednesday
elearn infotech,full stack development,746.0,post,hyderabad,friday
elearn infotech,full stack development,746.0,post,hyderabad,saturday
elearn infotech,gcp,746.0,post,hyderabad,monday
elearn infotech,full stack development,746.0,post,hyderabad,friday
elearn infotech,gcp,746.0,post,hyderabad,saturday
innomatics research labs,full stack development,11100.0,post,hyderabad,wednesday
innomatics research labs,gcp,11100.0,post,hyderabad,monday
innomatics research labs,full stack development,11100.0,post,hyderabad,saturday
innomatics research labs,full stack development,111.0,post,hyderabad,monday
innomatics research labs,full stack development,11100.0,post,hyderabad,thursday
innomatics research labs,full stack development,11100.0,reel,hyderabad,saturday
innomatics research labs,full stack development,11100.0,reel,hyderabad,monday
innomatics research labs,full stack development,11100.0,reel,hyderabad,tuesday
innomatics research labs,full stack development,11100.0,post,hyderabad,saturday
innomatics research labs,full stack development,11100.0,post,hyderabad,monday
innomatics research labs,full stack development,11100.0,reel,hyderabad,saturday
innomatics research labs,full stack development,11100.0,reel,hyderabad,monday
innomatics research labs,full stack development,11100.0,post,hyderabad,wednesday
innomatics research labs,full stack development,11100.0,post,hyderabad,monday
naresh i technologies,full stack development,54368.0,post,hyderabad,sunday
naresh i technologies,full stack development,54368.0,post,hyderabad,thursday
naresh i technologies,full stack development,54368.0,reel,hyderabad,tuesday
naresh i technologies,full stack development,54368.0,reel,hyderabad,monday
naresh i technologies,full stack development,54368.0,post,hyderabad,wednesday
naresh i technologies,full stack development,54368.0,post,hyderabad,monday
naresh i technologies,full stack development,54368.0,post,hyderabad,friday
naresh i technologies,full stack development,54368.0,post,hyderabad,sunday
naresh i technologies,full stack development,54368.0,reel,hyderabad,tuesday
naresh i technologies,full stack development,54368.0,post,hyderabad,monday
naresh i technologies,full stack development,54368.0,post,hyderabad,sunday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,friday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,wednesday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,tuesday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,tuesday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,wednesday
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,wednesday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,saturday
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,monday
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,tuesday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,thursday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,tuesday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,sunday
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,thursday
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,wednesday
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,thursday
saidemy,full stack development,54368.0,reel,hyderabad,wednesday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,sunday
nxtwave disruptive technologies,gcp,54368.0,reel,hyderabad,sunday
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,monday
saidemy,full stack development,54368.0,reel,hyderabad,sunday
excelr,full stack development,10226.0,post,hyderabad,thursday
excelr,full stack development,10226.0,post,hyderabad,friday
excelr,full stack development,10226.0,post,hyderabad,tuesday
excelr,gcp,10226.0,post,hyderabad,wednesday
excelr,full stack development,10226.0,reel,hyderabad,saturday
excelr,full stack development,10226.0,post,hyderabad,tuesday
saidemy,full stack development,10226.0,post,hyderabad,thursday
excelr,full stack development,10226.0,reel,hyderabad,monday
excelr,full stack development,10226.0,reel,hyderabad,wednesday
excelr,full stack development,10226.0,reel,hyderabad,saturday
excelr,full stack development,10226.0,reel,hyderabad,monday
social prachar,full stack development,10226.0,reel,hyderabad,friday
excelr,full stack development,10226.0,post,hyderabad,friday
excelr,full stack development,10226.0,post,hyderabad,friday
excelr,full stack development,10226.0,post,hyderabad,sunday
excelr,full stack development,10226.0,post,hyderabad,wednesday
excelr,full stack development,10226.0,post,hyderabad,friday
excelr,full stack development,10226.0,post,hyderabad,wednesday
excelr,full stack development,10226.0,reel,hyderabad,wednesday
excelr,full stack development,10226.0,reel,hyderabad,thursday
excelr,full stack development,10226.0,reel,hyderabad,friday
excelr,full stack development,10226.0,post,hyderabad,friday
excelr,full stack development,10226.0,post,hyderabad,tuesday
excelr,full stack development,10226.0,post,hyderabad,thursday
excelr,full stack development,10226.0,post,hyderabad,friday
excelr,full stack development,10226.0,reel,hyderabad,saturday
excelr,full stack development,10226.0,reel,hyderabad,monday
excelr,full stack development,10226.0,reel,hyderabad,thursday
excelr,full stack development,10226.0,reel,hyderabad,sunday
social prachar,full stack development,15250.0,post,hyderabad,thursday
social prachar,full stack development,15250.0,post,hyderabad,wednesday
social prachar,full stack development,15250.0,post,hyderabad,tuesday
social prachar,full stack development,15250.0,post,hyderabad,tuesday
social prachar,full stack development,15250.0,post,hyderabad,friday
besant technologies,full stack development,54368.0,post,banglore,saturday
besant technologies,full stack development,54368.0,post,banglore,sunday
besant technologies,gcp,54368.0,post,banglore,tuesday
besant technologies,full stack development,54368.0,post,banglore,monday
besant technologies,full stack development,54368.0,post,banglore,thursday
besant technologies,full stack development,54368.0,post,banglore,saturday
besant technologies,gcp,54368.0,post,banglore,wednesday
besant technologies,full stack development,54368.0,post,banglore,thursday
besant technologies,full stack development,54368.0,post,banglore,monday
besant technologies,full stack development,10226.0,post,banglore,monday
fita academy,ds,18338.0,reel,banglore,wednesday
fita academy,full stack development,18338.0,reel,banglore,saturday
fita academy,full stack development,18338.0,reel,banglore,tuesday
fita academy,full stack development,18338.0,reel,banglore,sunday
fita academy,full stack development,18338.0,reel,banglore,tuesday
fita academy,full stack development,18338.0,reel,banglore,wednesday
fita academy,ds,18338.0,reel,banglore,tuesday
fita academy,full stack development,18338.0,post,banglore,saturday
fita academy,full stack development,18338.0,reel,banglore,tuesday
fita academy,full stack development,18338.0,post,banglore,saturday
fita academy,full stack development,18338.0,post,banglore,tuesday
fita academy,full stack development,18338.0,post,banglore,saturday
fita academy,full stack development,18338.0,post,banglore,tuesday
fita academy,full stack development,18338.0,post,banglore,sunday
fita academy,full stack development,18338.0,post,banglore,thursday
fita academy,full stack development,18338.0,post,banglore,thursday
fita academy,full stack development,18338.0,post,banglore,saturday
fita academy,full stack development,18338.0,post,banglore,tuesday
fita academy,full stack development,18338.0,post,banglore,tuesday
mindmajix,full stack development,2785.0,post,hyderabad,thursday
mindmajix,full stack development,2785.0,post,hyderabad,tuesday
mindmajix,full stack development,2785.0,post,hyderabad,saturday
mindmajix,full stack development,2785.0,post,hyderabad,monday
mindmajix,full stack development,2785.0,post,hyderabad,tuesday
mindmajix,full stack development,2785.0,post,hyderabad,friday
mindmajix,full stack development,2785.0,reel,hyderabad,thursday
mindmajix,full stack development,2785.0,reel,hyderabad,saturday
mindmajix,full stack development,2785.0,reel,hyderabad,saturday
mindmajix,full stack development,2785.0,reel,hyderabad,tuesday
mindmajix,ds,2785.0,reel,hyderabad,thursday
mindmajix,full stack development,2785.0,reel,hyderabad,tuesday
social prachar,full stack development,2785.0,reel,hyderabad,saturday
mindmajix,ds,2785.0,reel,hyderabad,sunday
mindmajix,full stack development,2785.0,reel,hyderabad,tuesday
social prachar,ds,2785.0,reel,hyderabad,friday
mindmajix,full stack development,2785.0,reel,hyderabad,thursday
mindmajix,full stack development,2785.0,reel,hyderabad,saturday
mindmajix,ds,2785.0,reel,hyderabad,tuesday
mindmajix,full stack development,2785.0,reel,hyderabad,tuesday
brolly academy,full stack development,411.0,post,hyderabad,monday
brolly academy,full stack development,411.0,post,hyderabad,monday
brolly academy,full stack development,411.0,reel,hyderabad,sunday
brolly academy,full stack development,411.0,reel,hyderabad,thursday
brolly academy,ds,411.0,post,hyderabad,sunday
brolly academy,ds,411.0,post,hyderabad,tuesday
brolly academy,full stack development,411.0,post,hyderabad,monday
brolly academy,full stack development,411.0,post,hyderabad,monday
brolly academy,full stack development,411.0,post,hyderabad,sunday
brolly academy,full stack development,411.0,post,hyderabad,thursday
brolly academy,ds,411.0,reel,hyderabad,wednesday
brolly academy,full stack development,411.0,reel,hyderabad,sunday
brolly academy,ds,411.0,reel,hyderabad,thursday
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday
prsoftwares,full stack development,3391.0,post,hyderabad,monday
prsoftwares,full stack development,3391.0,post,hyderabad,monday
prsoftwares,ds,3391.0,post,hyderabad,wednesday
prsoftwares,full stack development,3391.0,post,hyderabad,thursday
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday
prsoftwares,full stack development,3391.0,post,hyderabad,monday
prsoftwares,ds,33.0,post,hyderabad,thursday
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday
prsoftwares,ds,3391.0,post,hyderabad,friday
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday
prsoftwares,ds,3391.0,reel,hyderabad,saturday
prsoftwares,ds,3391.0,post,hyderabad,sunday
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday
prsoftwares,full stack development,10226.0,post,hyderabad,tuesday
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday
prsoftwares,ds,3391.0,post,hyderabad,tuesday
prsoftwares,full stack development,3391.0,post,hyderabad,sunday
prsoftwares,full stack development,3391.0,post,hyderabad,friday
prsoftwares,full stack development,3391.0,post,hyderabad,saturday
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday
prsoftwares,full stack development,3391.0,post,hyderabad,sunday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,monday
naresh i technologies,"azure,devops",54368.0,post,hyderabad,saturday
social prachar,"aws,devops",54368.0,reel,hyderabad,saturday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,thursday
naresh i technologies,"azure,devops",54368.0,post,hyderabad,sunday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,wednesday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,tuesday
naresh i technologies,"azure,devops",54368.0,post,hyderabad,tuesday
social prachar,gcp,10226.0,post,hyderabad,tuesday
naresh i technologies,"aws,devops",54368.0,reel,hyderabad,sunday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,friday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,saturday
naresh i technologies,"azure,devops",54368.0,post,hyderabad,saturday
naresh i technologies,ds,54368.0,post,hyderabad,monday
naresh i technologies,"aws,devops",10226.0,reel,hyderabad,saturday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,wednesday
naresh i technologies,ds,54368.0,post,hyderabad,saturday
social prachar,"azure,devops",54368.0,post,hyderabad,saturday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,tuesday
naresh i technologies,"azure,devops",54368.0,post,hyderabad,tuesday
naresh i technologies,"aws,devops",10226.0,post,hyderabad,thursday
naresh i technologies,"azure,devops",54368.0,post,hyderabad,thursday
naresh i technologies,gcp,54368.0,post,hyderabad,thursday
naresh i technologies,"azure,devops",54368.0,post,hyderabad,monday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,thursday
social prachar,"aws,devops",54368.0,post,hyderabad,tuesday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,saturday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,thursday
naresh i technologies,dataskills,10226.0,post,hyderabad,saturday
naresh i technologies,"aws,devops",54368.0,reel,hyderabad,monday
naresh i technologies,"azure,devops",54368.0,post,hyderabad,monday
naresh i technologies,gcp,54368.0,post,hyderabad,monday
naresh i technologies,gcp,54368.0,post,hyderabad,sunday
social prachar,"aws,devops",54368.0,post,hyderabad,sunday
naresh i technologies,dataskills,54368.0,post,hyderabad,sunday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,thursday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,tuesday
naresh i technologies,"aws,devops",54368.0,post,hyderabad,sunday
naresh i technologies,dataskills,54368.0,post,hyderabad,thursday
quality thought,gcp,10700.0,post,hyderabad,monday
quality thought,"azure,devops",10700.0,post,hyderabad,tuesday
quality thought,"aws,devops",10226.0,post,hyderabad,tuesday
quality thought,gcp,10700.0,post,hyderabad,saturday
social prachar,"aws,devops",10700.0,post,hyderabad,saturday
quality thought,"azure,devops",10700.0,post,hyderabad,saturday
quality thought,gcp,10700.0,post,hyderabad,saturday
quality thought,"azure,devops",10700.0,post,hyderabad,saturday
quality thought,"aws,devops",10700.0,post,hyderabad,saturday
quality thought,gcp,10700.0,post,hyderabad,monday
quality thought,"aws,devops",10700.0,post,hyderabad,tuesday
cedlearn,"aws,devops",5618.0,post,hyderabad,thursday
cedlearn,"aws,devops",5618.0,post,hyderabad,monday
cedlearn,"aws,devops",5618.0,post,hyderabad,monday
cedlearn,"aws,devops",5618.0,post,hyderabad,monday
harsha trainings,gcp,7308.0,post,hyderabad,wednesday
harsha trainings,"azure,devops",7308.0,post,hyderabad,wednesday
harsha trainings,"aws,devops",7308.0,post,hyderabad,wednesday
harsha trainings,gcp,7308.0,post,hyderabad,friday
harsha trainings,"aws,devops",7308.0,post,hyderabad,friday
harsha trainings,"azure,devops",7308.0,post,hyderabad,friday
harsha trainings,gcp,7308.0,post,hyderabad,tuesday
harsha trainings,"azure,devops",7308.0,post,hyderabad,tuesday
harsha trainings,"aws,devops",7308.0,post,hyderabad,tuesday
harsha trainings,"azure,devops",7308.0,post,hyderabad,tuesday
harsha trainings,"aws,devops",7308.0,post,hyderabad,tuesday
harsha trainings,"azure,devops",7308.0,post,hyderabad,tuesday
harsha trainings,"aws,devops",7308.0,post,hyderabad,thursday
harsha trainings,"aws,devops",7308.0,post,hyderabad,friday
teksacademy,"aws,devops",9038.0,post,hyderabad,saturday
teksacademy,"aws,devops",9038.0,reel,hyderabad,saturday
teksacademy,"aws,devops",9038.0,post,hyderabad,tuesday
teksacademy,"aws,devops",9038.0,reel,hyderabad,saturday
teksacademy,"aws,devops",9038.0,post,hyderabad,saturday
teksacademy,"aws,devops",9038.0,post,hyderabad,monday
teksacademy,"aws,devops",9038.0,reel,hyderabad,friday
teksacademy,"aws,devops",9038.0,post,hyderabad,wednesday
teksacademy,"aws,devops",9038.0,post,hyderabad,saturday
teksacademy,"aws,devops",9038.0,post,hyderabad,thursday
vcube software solutions,"azure,devops",54368.0,reel,hyderabad,saturday
vcube software solutions,"azure,devops",54368.0,reel,hyderabad,friday
vcube software solutions,"azure,devops",54368.0,reel,hyderabad,saturday
vcube software solutions,dataskills,54368.0,reel,hyderabad,saturday
vcube software solutions,"aws,devops",54368.0,reel,hyderabad,thursday
vcube software solutions,"aws,devops",54368.0,reel,hyderabad,monday
vcube software solutions,dataskills,54368.0,post,hyderabad,thursday
vcube software solutions,"aws,devops",10226.0,reel,hyderabad,saturday
vcube software solutions,"aws,devops",54368.0,reel,hyderabad,tuesday
vcube software solutions,dataskills,54368.0,reel,hyderabad,friday
vcube software solutions,"aws,devops",54368.0,reel,hyderabad,saturday
vcube software solutions,"aws,devops",10226.0,reel,hyderabad,thursday
vcube software solutions,dataskills,54368.0,reel,hyderabad,friday
vcube software solutions,"aws,devops",54368.0,reel,hyderabad,friday
vcube software solutions,"aws,devops",54368.0,post,hyderabad,monday
vcube software solutions,"azure,devops",54368.0,post,hyderabad,monday
vcube software solutions,gcp,54368.0,post,hyderabad,thursday
vcube software solutions,"azure,devops",54368.0,reel,hyderabad,monday
vcube software solutions,"azure,devops",54368.0,reel,hyderabad,friday
vcube software solutions,"aws,devops",54368.0,post,hyderabad,friday
vcube software solutions,"aws,devops",54368.0,post,hyderabad,wednesday
version it,"aws,devops",129.0,post,hyderabad,thursday
version it,"aws,devops",129.0,post,hyderabad,friday
version it,"aws,devops",129.0,post,hyderabad,wednesday
version it,"aws,devops",129.0,post,hyderabad,sunday
