Institute Name,CourseName,Followers,type,Location,Day,Reach
fullstackacademy,data analytics,6459.0,post,hyderabad,wednesday,moderate
fullstackacademy,data science,6459.0,post,hyderabad,wednesday,moderate
fullstackacademy,ai,6459.0,post,hyderabad,wednesday,moderate
fullstackacademy,ai,6459.0,reel,hyderabad,monday,moderate
fullstackacademy,ai,6459.0,reel,hyderabad,friday,moderate
fullstackacademy,ai,6459.0,post,hyderabad,thursday,moderate
fullstackacademy,ai,6459.0,post,hyderabad,thursday,moderate
fullstackacademy,data science,6459.0,post,hyderabad,tuesday,moderate
besant technologies,data analytics,6459.0,post,hyderabad,tuesday,moderate
fullstackacademy,ai,6459.0,reel,hyderabad,friday,moderate
fullstackacademy,ai,10226.0,reel,hyderabad,friday,moderate
fullstackacademy,data science,6459.0,reel,hyderabad,tuesday,moderate
fullstackacademy,data science,6459.0,post,hyderabad,monday,moderate
saidemy,dataskills,64.0,post,hyderabad,saturday,moderate
fullstackacademy,data science,6459.0,post,hyderabad,thursday,moderate
fullstackacademy,data analytics,6459.0,post,hyderabad,sunday,moderate
saidemy,ai,6459.0,post,hyderabad,friday,moderate
fullstackacademy,data analytics,6459.0,reel,hyderabad,monday,moderate
saidemy,data science,6459.0,post,hyderabad,tuesday,moderate
fullstackacademy,data analytics,6459.0,post,hyderabad,tuesday,moderate
fullstackacademy,data analytics,6459.0,post,hyderabad,wednesday,moderate
teksacademy,data science,9038.0,reel,hyderabad,thursday,moderate
teksacademy,data science,9038.0,post,hyderabad,thursday,moderate
teksacademy,data science,9038.0,reel,hyderabad,saturday,moderate
teksacademy,ai,9038.0,post,hyderabad,thursday,moderate
teksacademy,data science,9038.0,reel,hyderabad,wednesday,low
teksacademy,data science,9038.0,post,hyderabad,tuesday,moderate
teksacademy,data science,9038.0,reel,hyderabad,tuesday,moderate
teksacademy,data science,9038.0,reel,hyderabad,monday,moderate
teksacademy,data science,9038.0,reel,hyderabad,friday,low
teksacademy,ai,9038.0,post,hyderabad,thursday,moderate
teksacademy,data science,9038.0,reel,hyderabad,wednesday,moderate
teksacademy,data science,9038.0,post,hyderabad,tuesday,high
teksacademy,data analytics,9038.0,post,hyderabad,wednesday,moderate
teksacademy,data science,9038.0,post,hyderabad,monday,moderate
teksacademy,ai,9038.0,post,hyderabad,thursday,moderate
teksacademy,data science,9038.0,reel,hyderabad,wednesday,moderate
teksacademy,data science,9038.0,post,hyderabad,tuesday,moderate
teksacademy,data analytics,9038.0,reel,hyderabad,tuesday,moderate
teksacademy,data science,9038.0,reel,hyderabad,friday,moderate
teksacademy,data analytics,9038.0,post,hyderabad,thursday,moderate
teksacademy,data science,9038.0,post,hyderabad,monday,moderate
teksacademy,data science,9038.0,reel,hyderabad,tuesday,moderate
saidemy,gcp,9038.0,reel,hyderabad,tuesday,moderate
teksacademy,data science,9038.0,post,hyderabad,monday,moderate
teksacademy,data science,9038.0,reel,hyderabad,monday,moderate
datamites,ai,12200.0,reel,hyderabad,friday,moderate
datamites,ai,12200.0,post,hyderabad,thursday,moderate
